objectId,Year,Make,Model,Category,createdAt,updatedAt
ZRgPP9dBMm,2020,Audi,Q3,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
cptB1C1NSL,2020,Chevrolet,Malibu,Sedan,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
ElhqsRZDnP,2020,Cadillac,Escalade ESV,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
LUzyWMYJpW,2020,Chevrolet,Corvette,"Coupe, Convertible",2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
rDkHakOBKP,2020,Acura,RLX,Sedan,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
1JARpJ2AUB,2020,Chevrolet,Silverado 2500 HD Crew Cab,Pickup,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
7G1VT2pSNO,2020,BMW,3 Series,Sedan,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
4q7L9FAU2S,2020,Chrysler,Pacifica,Van/Minivan,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
jpOC5zs3jx,2020,Chevrolet,Colorado Crew Cab,Pickup,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
96llWfTOAe,2020,BMW,X3,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
5OEvsF1R9k,2020,Acura,TLX,Sedan,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
LNq3duGh9z,2020,Chevrolet,Silverado 3500 HD Crew Cab,Pickup,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
FThs77Cddn,2020,BMW,7 Series,Sedan,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
t9eGFMIk7E,2020,Ford,Fusion,Sedan,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
cWQjuYWwc2,2020,Buick,Envision,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
2lYY81jKzR,2020,Audi,SQ5,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
qGDd5H3yYd,2020,Audi,R8,"Coupe, Convertible",2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
ALbinxfzM1,2020,Chevrolet,Traverse,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
9eRGwnViia,2020,Acura,MDX,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
kAgBF7aSaO,2020,INFINITI,QX80,SUV,2020-01-27T20:44:17.666Z,2020-01-27T20:44:17.666Z
ygsDiv3hRm,2020,Buick,Encore,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
92pfQo6pA4,2020,GMC,Sierra 2500 HD Crew Cab,Pickup,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
VfXndYon3e,2020,Honda,Insight,Sedan,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
grl6dVnzM9,2020,Cadillac,XT6,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
QrYfmqcnAR,2020,Cadillac,XT5,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
hSaQDQkkE0,2020,Cadillac,XT4,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
rSQyj88Pwe,2020,Buick,Enclave,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
kkcmfophql,2020,Audi,Q5,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
V1F5kE5svr,2020,Hyundai,Santa Fe,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
bW6jRQ3h2S,2020,Ford,EcoSport,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
6YcNNwgY0C,2020,Ford,Escape,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
dxs3ayh6Yl,2020,Ford,Mustang,"Coupe, Convertible",2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
yZUeGC1bOn,2020,Hyundai,Sonata,Sedan,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
JyMpQJbCvy,2020,Ford,Edge,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
VT4rtTsGBj,2020,Chevrolet,Camaro,Convertible,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
vRQFNeVlsa,2020,Hyundai,Kona Electric,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
OHHuEGKsUC,2020,Chevrolet,Equinox,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
vu2lCeXKzk,2020,GMC,Sierra 3500 HD Crew Cab,Pickup,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
rg8LbH5ixZ,2020,Jeep,Gladiator,Pickup,2020-01-27T20:44:17.666Z,2020-01-27T20:44:17.666Z
ifEdBTIVDH,2020,BMW,X7,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
4J2BvKonKq,2020,Cadillac,CT6-V,Sedan,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
PlNwrAm6eM,2020,Audi,A7,Sedan,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
VK6hmDAvqP,2020,Chevrolet,Blazer,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
vidGAd8cIJ,2020,Ford,F150 SuperCrew Cab,Pickup,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
NHWgNGSFB7,2020,Chevrolet,Suburban,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
MTvnyKqtYJ,2020,Honda,Civic,"Hatchback, Sedan, Coupe",2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
wTXL9Ze5eF,2020,Jeep,Compass,SUV,2020-01-27T20:44:17.666Z,2020-01-27T20:44:17.666Z
SCG7WEYdG1,2020,Cadillac,Escalade,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
cKnegrw5AO,2020,Chrysler,Voyager,Van/Minivan,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
smKxD5m9KI,2020,Honda,Accord Hybrid,Sedan,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
ED6o8Zffqs,2020,GMC,Terrain,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
2ZCPYTGxDj,2020,Chevrolet,Spark,Hatchback,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
fZGBnnMx4e,2020,GMC,Sierra 1500 Crew Cab,Pickup,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
6qsEYBv6eW,2020,Hyundai,NEXO,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
4lZKmYPbMk,2020,Hyundai,Veloster,Coupe,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
9BdK0PtwKc,2020,Chevrolet,Silverado 1500 Crew Cab,Pickup,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
H1THLG6H1Z,2020,Genesis,G70,Sedan,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
XtDg7lwyJT,2020,Cadillac,CT5,Sedan,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
KE29kkqLX6,2020,Honda,Odyssey,Van/Minivan,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
70EmSYGau7,2020,Hyundai,Elantra GT,Hatchback,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
YZj6RLht79,2020,Acura,RDX,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
3phIrCVLh7,2020,GMC,Yukon XL,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
i6jT5ByjBF,2020,Ford,Ranger SuperCab,Pickup,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
RHD7qDmzgU,2020,Ford,Expedition MAX,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
pJCLIx2r8E,2020,Hyundai,Kona,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
8kzM0APnBF,2020,INFINITI,QX50,SUV,2020-01-27T20:44:17.666Z,2020-01-27T20:44:17.666Z
1AV4avrH6j,2020,Dodge,Durango,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
dow9fD3WF6,2020,GMC,Yukon,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
adJr9Qr42Q,2020,Hyundai,Palisade,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
F7BG83iyWo,2020,Honda,Ridgeline,Pickup,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
VMpSU5DhdC,2020,Jeep,Cherokee,SUV,2020-01-27T20:44:17.666Z,2020-01-27T20:44:17.666Z
UY03j6Fe12,2020,Chevrolet,Bolt EV,Hatchback,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
7zxuFmGDLY,2020,Ford,Expedition,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
