modelo,color,año,precio,potencia,tamaño,motor,imagen
CX-5,Blanco,2017,50000,160,Grande,Gasolina,https://d1hv7ee95zft1i.cloudfront.net/custom/car-model-photo/original/2022-mazda-cx-5-62aaedb09e913.jpg
CX-9,Negro,2021,50000,140,Mediano,Híbrido,https://mazdaredesign.com/wp-content/uploads/2021/06/2023-Mazda-CX-9-Exterior-2.jpg
CX-5,Azul,2021,45000,140,Compacto,Híbrido,https://d1hv7ee95zft1i.cloudfront.net/custom/car-model-photo/original/2022-mazda-cx-5-62aaedb09e913.jpg
Mazda6,Azul,2019,35000,140,Compacto,Gasolina,https://www.ihwanburhan.com/wp-content/uploads/2021/04/2023-Mazda-6-Exterior-1-768x448.png
Mazda6,Blanco,2018,55000,200,Compacto,Híbrido,https://www.ihwanburhan.com/wp-content/uploads/2021/04/2023-Mazda-6-Exterior-1-768x448.png
CX-5,Negro,2020,50000,200,Grande,Gasolina,https://d1hv7ee95zft1i.cloudfront.net/custom/car-model-photo/original/2022-mazda-cx-5-62aaedb09e913.jpg
Mazda3,Negro,2019,40000,200,Compacto,Gasolina,https://www.ihwanburhan.com/wp-content/uploads/2021/03/Mazda-3-2023-Exterior.png
Mazda6,Azul,2017,40000,200,Mediano,Híbrido,https://www.ihwanburhan.com/wp-content/uploads/2021/04/2023-Mazda-6-Exterior-1-768x448.png
CX-9,Negro,2017,40000,120,Compacto,Gasolina,https://mazdaredesign.com/wp-content/uploads/2021/06/2023-Mazda-CX-9-Exterior-2.jpg
CX-9,Rojo,2018,40000,200,Mediano,Gasolina,https://mazdaredesign.com/wp-content/uploads/2021/06/2023-Mazda-CX-9-Exterior-2.jpg
CX-9,Rojo,2020,35000,160,Mediano,Gasolina,https://mazdaredesign.com/wp-content/uploads/2021/06/2023-Mazda-CX-9-Exterior-2.jpg
Mazda3,Gris,2017,55000,200,Compacto,Gasolina,https://www.ihwanburhan.com/wp-content/uploads/2021/03/Mazda-3-2023-Exterior.png
Mazda3,Gris,2019,50000,180,Compacto,Híbrido,https://www.ihwanburhan.com/wp-content/uploads/2021/03/Mazda-3-2023-Exterior.png
CX-9,Gris,2019,50000,160,Grande,Gasolina,https://mazdaredesign.com/wp-content/uploads/2021/06/2023-Mazda-CX-9-Exterior-2.jpg
Mazda6,Gris,2020,40000,160,Compacto,Gasolina,https://www.ihwanburhan.com/wp-content/uploads/2021/04/2023-Mazda-6-Exterior-1-768x448.png
CX-9,Blanco,2019,50000,120,Compacto,Híbrido,https://mazdaredesign.com/wp-content/uploads/2021/06/2023-Mazda-CX-9-Exterior-2.jpg
CX-9,Azul,2019,55000,160,Compacto,Híbrido,https://mazdaredesign.com/wp-content/uploads/2021/06/2023-Mazda-CX-9-Exterior-2.jpg
