Modelo,Color,Año,Precio,Potencia,Tracción
Focus,Rojo,2017,35000,250,Delantera
Fiesta,Blanco,2020,40000,100,Delantera
Focus,Azul,2018,45000,100,4x4
Mustang,Azul,2017,35000,200,4x4
Focus,Azul,2021,40000,200,Trasera
Explorer,Negro,2021,45000,200,Delantera
Fiesta,Negro,2018,50000,150,4x4
Mustang,Rojo,2018,40000,200,4x4
Mustang,Rojo,2018,40000,150,4x4
Fiesta,Gris,2020,50000,150,Delantera
Fiesta,Negro,2019,35000,150,Trasera
Fiesta,Blanco,2019,45000,150,Trasera
Fiesta,Azul,2021,55000,150,4x4
Explorer,Gris,2021,55000,100,Delantera
Fiesta,Azul,2019,55000,150,Delantera
Fiesta,Blanco,2021,50000,150,4x4
Mustang,Negro,2019,50000,250,4x4
Mustang,Gris,2018,40000,200,4x4
Mustang,Blanco,2020,35000,250,Delantera
Mustang,Negro,2019,40000,250,Delantera
Focus,Rojo,2018,35000,250,Trasera
Mustang,Negro,2019,50000,250,Delantera
Focus,Azul,2020,50000,200,Trasera
Fiesta,Gris,2017,45000,100,4x4
Fiesta,Blanco,2019,45000,150,4x4
Mustang,Azul,2021,50000,150,Trasera
Explorer,Rojo,2017,45000,200,Trasera
Fiesta,Gris,2019,50000,250,4x4
Mustang,Blanco,2018,35000,200,Delantera
Mustang,Rojo,2020,55000,100,4x4
Mustang,Rojo,2020,45000,200,Trasera
Explorer,Negro,2017,50000,250,Trasera
Mustang,Blanco,2021,45000,150,4x4
Fiesta,Gris,2018,55000,200,Delantera
Focus,Blanco,2020,45000,200,Trasera
Fiesta,Negro,2021,45000,100,Trasera
Fiesta,Negro,2018,40000,200,4x4
Fiesta,Negro,2017,55000,100,Trasera
Mustang,Blanco,2017,45000,150,Delantera
Mustang,Rojo,2018,50000,200,Trasera
Mustang,Gris,2018,45000,100,Delantera
Mustang,Azul,2018,50000,250,4x4
Focus,Rojo,2017,35000,200,Delantera
Explorer,Negro,2021,55000,150,Trasera
Focus,Gris,2019,35000,250,4x4
Focus,Negro,2017,50000,100,Delantera
Fiesta,Rojo,2019,40000,200,4x4
Mustang,Negro,2017,35000,150,Trasera
Focus,Blanco,2020,55000,250,Delantera
Mustang,Azul,2021,45000,250,Delantera
Explorer,Gris,2017,40000,100,Trasera
Explorer,Gris,2020,55000,250,Delantera
Fiesta,Blanco,2018,55000,150,Delantera
Explorer,Rojo,2017,35000,200,Delantera
Mustang,Negro,2021,40000,150,Trasera
Mustang,Blanco,2020,35000,250,4x4
Mustang,Rojo,2021,35000,200,4x4
Explorer,Gris,2019,50000,250,Trasera
Mustang,Blanco,2019,35000,100,Trasera
Explorer,Gris,2021,40000,100,Delantera
Explorer,Rojo,2019,40000,150,Delantera
Explorer,Rojo,2017,55000,200,4x4
Mustang,Rojo,2020,50000,200,Delantera
Explorer,Rojo,2021,45000,200,4x4
Mustang,Rojo,2018,55000,100,4x4
Explorer,Blanco,2021,45000,250,Trasera
Explorer,Azul,2020,50000,150,Trasera
Explorer,Gris,2020,50000,100,Delantera
Mustang,Negro,2017,45000,100,4x4
Fiesta,Rojo,2020,55000,200,Trasera
Mustang,Gris,2019,45000,150,Trasera
Fiesta,Gris,2018,50000,150,Trasera
Mustang,Gris,2020,50000,100,4x4
Focus,Rojo,2020,35000,150,4x4
Explorer,Blanco,2021,50000,150,Delantera
Mustang,Negro,2018,35000,250,4x4
Explorer,Gris,2019,35000,200,Trasera
Fiesta,Rojo,2018,40000,100,Trasera
Fiesta,Blanco,2020,55000,100,Trasera
Explorer,Gris,2021,50000,200,Trasera
Mustang,Rojo,2021,40000,250,Trasera
Mustang,Azul,2020,55000,200,Delantera
Focus,Gris,2019,45000,100,4x4
Explorer,Rojo,2017,55000,200,Delantera
