Modelo,Color,Año,Precio,Potencia,Tracción
X3,Gris,2021,45000,350,4x4
Serie 3,Rojo,2021,40000,350,Trasera
X5,Gris,2019,35000,200,4x4
X3,Rojo,2019,50000,200,4x4
X3,Rojo,2021,55000,350,Trasera
Serie 3,Azul,2017,50000,350,4x4
X3,Negro,2020,35000,300,Trasera
X3,Negro,2017,45000,200,4x4
Serie 5,Rojo,2017,50000,200,4x4
Serie 5,Blanco,2019,40000,300,4x4
Serie 3,Rojo,2019,40000,250,Trasera
X5,Gris,2020,50000,300,4x4
Serie 3,Rojo,2018,50000,300,Trasera
X3,Blanco,2018,45000,350,Trasera
Serie 5,Rojo,2017,40000,300,Trasera
X5,Blanco,2017,55000,300,4x4
Serie 3,Rojo,2017,35000,250,Trasera
Serie 3,Negro,2019,55000,350,Trasera
X3,Blanco,2019,40000,350,4x4
X5,Blanco,2018,55000,350,Trasera
X5,Negro,2020,55000,250,Trasera
Serie 3,Blanco,2021,35000,350,Trasera
Serie 3,Rojo,2020,55000,300,Trasera
X3,Azul,2018,45000,200,4x4
X3,Blanco,2017,40000,200,Trasera
Serie 3,Rojo,2020,50000,250,4x4
X3,Gris,2019,50000,250,Trasera
X5,Rojo,2019,40000,350,Trasera
Serie 5,Gris,2021,50000,350,Trasera
Serie 5,Gris,2021,55000,250,Trasera
X5,Azul,2021,45000,300,4x4
X3,Rojo,2020,50000,300,Trasera
Serie 5,Azul,2018,35000,200,Trasera
X5,Rojo,2017,40000,300,Trasera
Serie 3,Gris,2018,40000,300,Trasera
X5,Negro,2021,35000,350,4x4
X5,Negro,2019,40000,350,4x4
Serie 3,Gris,2020,40000,200,4x4
Serie 3,Gris,2018,40000,250,Trasera
Serie 3,Negro,2017,45000,200,4x4
Serie 5,Rojo,2019,35000,350,4x4
Serie 5,Azul,2021,40000,350,4x4
X5,Negro,2020,40000,350,4x4
Serie 3,Negro,2017,45000,200,4x4
Serie 5,Blanco,2019,50000,350,4x4
X5,Blanco,2020,55000,350,4x4
X5,Azul,2018,55000,200,4x4
Serie 3,Azul,2019,55000,250,Trasera
Serie 5,Negro,2019,35000,300,Trasera
Serie 5,Gris,2019,35000,200,4x4
X3,Blanco,2017,40000,250,Trasera
X5,Rojo,2017,45000,200,Trasera
X3,Negro,2021,35000,300,Trasera
Serie 5,Azul,2019,55000,200,4x4
X5,Blanco,2017,35000,200,4x4
Serie 3,Rojo,2020,40000,350,4x4
Serie 3,Negro,2021,40000,350,4x4
Serie 5,Gris,2020,40000,200,Trasera
Serie 3,Negro,2019,45000,250,4x4
Serie 3,Negro,2019,45000,300,Trasera
Serie 3,Rojo,2020,35000,350,Trasera
X5,Blanco,2020,35000,300,4x4
X3,Rojo,2019,35000,250,Trasera
Serie 5,Blanco,2020,55000,350,4x4
Serie 5,Blanco,2017,50000,200,Trasera
Serie 5,Azul,2017,45000,350,4x4
X3,Azul,2020,35000,250,4x4
Serie 5,Rojo,2021,45000,250,4x4
X3,Negro,2020,45000,300,Trasera
X3,Negro,2019,50000,300,Trasera
X3,Blanco,2018,50000,250,Trasera
X3,Gris,2018,50000,250,Trasera
X5,Rojo,2019,55000,200,4x4
Serie 3,Gris,2019,50000,350,Trasera
X3,Blanco,2020,35000,250,4x4
X5,Blanco,2017,55000,250,Trasera
X5,Blanco,2021,55000,300,4x4
